"Razveze zakonskih zvez po: LETO, STAROSTNE SKUPINE MOzA , STAROSTNE"
"SKUPINE zENE"

" ";" ";"Razveze - SKUPAJ (zena)";"pod 25 let (zena)";"25-29 let (zena)";"30-34 let (zena)";"35-39 let (zena)";"40-44 let (zena)";"45-49 let (zena)";"50-54 let (zena)";"55-59 let (zena)";"60 + let (zena)"
" ";"25-29 let (moz)";114;28;56;23;4;2;0;0;1;0
" ";"30-34 let (moz)";294;15;86;152;33;6;2;0;0;0
" ";"35-39 let (moz)";391;6;39;150;158;32;4;2;0;0
" ";"40-44 let (moz)";478;2;5;58;186;191;28;8;0;0
" ";"45-49 let (moz)";392;0;3;16;52;165;134;16;5;1
" ";"50-54 let (moz)";263;0;4;3;14;34;93;94;17;4
" ";"55-59 let (moz)";180;0;3;2;2;10;30;77;52;4
" ";"60 + let (moz)";165;0;1;0;2;9;7;18;53;75
"2010"
" ";"Razveze - SKUPAJ (moz)";2430;66;202;395;460;459;386;223;147;92
" ";"Pod 25 let (moz)";25;17;5;1;1;0;1;0;0;0
" ";"25-29 let (moz)";117;31;51;24;5;3;2;1;0;0
" ";"30-34 let (moz)";293;13;104;131;32;11;1;1;0;0
" ";"35-39 let (moz)";401;4;28;162;169;25;9;4;0;0
" ";"40-44 let (moz)";489;1;12;58;178;207;28;5;0;0
" ";"45-49 let (moz)";419;0;0;13;58;165;149;26;3;5
" ";"50-54 let (moz)";296;0;2;2;11;36;140;85;17;3
" ";"55-59 let (moz)";214;0;0;2;4;8;44;76;71;9
" ";"60 + let (moz)";176;0;0;2;2;4;12;25;56;75
"2011"
" ";"Razveze - SKUPAJ (moz)";2298;55;184;332;459;426;386;212;119;125
" ";"Pod 25 let (moz)";22;14;6;1;0;0;1;0;0;0
" ";"25-29 let (moz)";101;25;52;20;3;1;0;0;0;0
" ";"30-34 let (moz)";279;13;90;126;37;10;3;0;0;0
" ";"35-39 let (moz)";360;2;24;129;169;32;2;0;2;0
" ";"40-44 let (moz)";397;0;6;38;153;169;23;8;0;0
" ";"45-49 let (moz)";431;0;5;12;68;150;165;20;7;4
" ";"50-54 let (moz)";329;0;0;2;18;48;145;93;16;7
" ";"55-59 let (moz)";193;0;1;3;7;12;34;76;48;12
" ";"60 + let (moz)";186;1;0;1;4;4;13;15;46;102
"2012"
" ";"Razveze - SKUPAJ (moz)";2509;56;181;381;461;457;413;277;140;143
" ";"Pod 25 let (moz)";23;14;6;2;1;0;0;0;0;0
" ";"25-29 let (moz)";117;23;60;23;7;2;2;0;0;0
" ";"30-34 let (moz)";266;14;81;129;33;5;3;1;0;0
" ";"35-39 let (moz)";420;1;26;157;188;40;6;2;0;0
" ";"40-44 let (moz)";419;3;3;39;154;166;40;12;1;1
" ";"45-49 let (moz)";484;0;4;20;58;183;177;38;2;2
" ";"50-54 let (moz)";322;1;1;6;8;39;137;118;10;2
" ";"55-59 let (moz)";230;0;0;4;7;15;37;85;70;12
" ";"60 + let (moz)";228;0;0;1;5;7;11;21;57;126
"2013"
" ";"Razveze - SKUPAJ (moz)";2351;38;162;343;489;398;370;256;157;138
" ";"Pod 25 let (moz)";16;7;2;4;1;0;2;0;0;0
