"Sklenitve zakonskih zvez po: STAROSTNE SKUPINE ZENINA, LETO , STAROSTNE"
"SKUPINE NEVESTE"

" ";"1994";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"1995";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"1996";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"1997";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"1998";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"1999";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"2000";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"2001";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"2002";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"2003";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"2004";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"2005";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"2006";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"2007";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"2008";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"2009";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"2010";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"2011";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"2012";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"2013";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"2014";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"2015";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"2016";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
" ";"Starostne skupine neveste - SKUPAJ";"Pod 20 let - nevesta";"20-24 let - nevesta";"25-29 let - nevesta";"30-34 let - nevesta";"35-39 let - nevesta";"40-44 let - nevesta";"45-49 let - nevesta";"50-54 let - nevesta";"55-59 let - nevesta";"60-64 let - nevesta";"65 let ali vec - nevesta";"Starostne skupine neveste - SKUPAJ";"Pod 20 let - nevesta";"20-24 let - nevesta";"25-29 let - nevesta";"30-34 let - nevesta";"35-39 let - nevesta";"40-44 let - nevesta";"45-49 let - nevesta";"50-54 let - nevesta";"55-59 let - nevesta";"60-64 let - nevesta";"65 let ali vec - nevesta";"Starostne skupine neveste - SKUPAJ";"Pod 20 let - nevesta";"20-24 let - nevesta";"25-29 let - nevesta";"30-34 let - nevesta";"35-39 let - nevesta";"40-44 let - nevesta";"45-49 let - nevesta";"50-54 let - nevesta";"55-59 let - nevesta";"60-64 let - nevesta";"65 let ali vec - nevesta";"Starostne skupine neveste - SKUPAJ";"Pod 20 let - nevesta";"20-24 let - nevesta";"25-29 let - nevesta";"30-34 let - nevesta";"35-39 let - nevesta";"40-44 let - nevesta";"45-49 let - nevesta";"50-54 let - nevesta";"55-59 let - nevesta";"60-64 let - nevesta";"65 let ali vec - nevesta";"Starostne skupine neveste - SKUPAJ";"Pod 20 let - nevesta";"20-24 let - nevesta";"25-29 let - nevesta";"30-34 let - nevesta";"35-39 let - nevesta";"40-44 let - nevesta";"45-49 let - nevesta";"50-54 let - nevesta";"55-59 let - nevesta";"60-64 let - nevesta";"65 let ali vec - nevesta";"Starostne skupine neveste - SKUPAJ";"Pod 20 let - nevesta";"20-24 let - nevesta";"25-29 let - nevesta";"30-34 let - nevesta";"35-39 let - nevesta";"40-44 let - nevesta";"45-49 let - nevesta";"50-54 let - nevesta";"55-59 let - nevesta";"60-64 let - nevesta";"65 let ali vec - nevesta";"Starostne skupine neveste - SKUPAJ";"Pod 20 let - nevesta";"20-24 let - nevesta";"25-29 let - nevesta";"30-34 let - nevesta";"35-39 let - nevesta";"40-44 let - nevesta";"45-49 let - nevesta";"50-54 let - nevesta";"55-59 let - nevesta";"60-64 let - nevesta";"65 let ali vec - nevesta";"Starostne skupine neveste - SKUPAJ";"Pod 20 let - nevesta";"20-24 let - nevesta";"25-29 let - nevesta";"30-34 let - nevesta";"35-39 let - nevesta";"40-44 let - nevesta";"45-49 let - nevesta";"50-54 let - nevesta";"55-59 let - nevesta";"60-64 let - nevesta";"65 let ali vec - nevesta";"Starostne skupine neveste - SKUPAJ";"Pod 20 let - nevesta";"20-24 let - nevesta";"25-29 let - nevesta";"30-34 let - nevesta";"35-39 let - nevesta";"40-44 let - nevesta";"45-49 let - nevesta";"50-54 let - nevesta";"55-59 let - nevesta";"60-64 let - nevesta";"65 let ali vec - nevesta";"Starostne skupine neveste - SKUPAJ";"Pod 20 let - nevesta";"20-24 let - nevesta";"25-29 let - nevesta";"30-34 let - nevesta";"35-39 let - nevesta";"40-44 let - nevesta";"45-49 let - nevesta";"50-54 let - nevesta";"55-59 let - nevesta";"60-64 let - nevesta";"65 let ali vec - nevesta";"Starostne skupine neveste - SKUPAJ";"Pod 20 let - nevesta";"20-24 let - nevesta";"25-29 let - nevesta";"30-34 let - nevesta";"35-39 let - nevesta";"40-44 let - nevesta";"45-49 let - nevesta";"50-54 let - nevesta";"55-59 let - nevesta";"60-64 let - nevesta";"65 let ali vec - nevesta";"Starostne skupine neveste - SKUPAJ";"Pod 20 let - nevesta";"20-24 let - nevesta";"25-29 let - nevesta";"30-34 let - nevesta";"35-39 let - nevesta";"40-44 let - nevesta";"45-49 let - nevesta";"50-54 let - nevesta";"55-59 let - nevesta";"60-64 let - nevesta";"65 let ali vec - nevesta";"Starostne skupine neveste - SKUPAJ";"Pod 20 let - nevesta";"20-24 let - nevesta";"25-29 let - nevesta";"30-34 let - nevesta";"35-39 let - nevesta";"40-44 let - nevesta";"45-49 let - nevesta";"50-54 let - nevesta";"55-59 let - nevesta";"60-64 let - nevesta";"65 let ali vec - nevesta";"Starostne skupine neveste - SKUPAJ";"Pod 20 let - nevesta";"20-24 let - nevesta";"25-29 let - nevesta";"30-34 let - nevesta";"35-39 let - nevesta";"40-44 let - nevesta";"45-49 let - nevesta";"50-54 let - nevesta";"55-59 let - nevesta";"60-64 let - nevesta";"65 let ali vec - nevesta";"Starostne skupine neveste - SKUPAJ";"Pod 20 let - nevesta";"20-24 let - nevesta";"25-29 let - nevesta";"30-34 let - nevesta";"35-39 let - nevesta";"40-44 let - nevesta";"45-49 let - nevesta";"50-54 let - nevesta";"55-59 let - nevesta";"60-64 let - nevesta";"65 let ali vec - nevesta";"Starostne skupine neveste - SKUPAJ";"Pod 20 let - nevesta";"20-24 let - nevesta";"25-29 let - nevesta";"30-34 let - nevesta";"35-39 let - nevesta";"40-44 let - nevesta";"45-49 let - nevesta";"50-54 let - nevesta";"55-59 let - nevesta";"60-64 let - nevesta";"65 let ali vec - nevesta";"Starostne skupine neveste - SKUPAJ";"Pod 20 let - nevesta";"20-24 let - nevesta";"25-29 let - nevesta";"30-34 let - nevesta";"35-39 let - nevesta";"40-44 let - nevesta";"45-49 let - nevesta";"50-54 let - nevesta";"55-59 let - nevesta";"60-64 let - nevesta";"65 let ali vec - nevesta";"Starostne skupine neveste - SKUPAJ";"Pod 20 let - nevesta";"20-24 let - nevesta";"25-29 let - nevesta";"30-34 let - nevesta";"35-39 let - nevesta";"40-44 let - nevesta";"45-49 let - nevesta";"50-54 let - nevesta";"55-59 let - nevesta";"60-64 let - nevesta";"65 let ali vec - nevesta";"Starostne skupine neveste - SKUPAJ";"Pod 20 let - nevesta";"20-24 let - nevesta";"25-29 let - nevesta";"30-34 let - nevesta";"35-39 let - nevesta";"40-44 let - nevesta";"45-49 let - nevesta";"50-54 let - nevesta";"55-59 let - nevesta";"60-64 let - nevesta";"65 let ali vec - nevesta";"Starostne skupine neveste - SKUPAJ";"Pod 20 let - nevesta";"20-24 let - nevesta";"25-29 let - nevesta";"30-34 let - nevesta";"35-39 let - nevesta";"40-44 let - nevesta";"45-49 let - nevesta";"50-54 let - nevesta";"55-59 let - nevesta";"60-64 let - nevesta";"65 let ali vec - nevesta";"Starostne skupine neveste - SKUPAJ";"Pod 20 let - nevesta";"20-24 let - nevesta";"25-29 let - nevesta";"30-34 let - nevesta";"35-39 let - nevesta";"40-44 let - nevesta";"45-49 let - nevesta";"50-54 let - nevesta";"55-59 let - nevesta";"60-64 let - nevesta";"65 let ali vec - nevesta";"Starostne skupine neveste - SKUPAJ";"Pod 20 let - nevesta";"20-24 let - nevesta";"25-29 let - nevesta";"30-34 let - nevesta";"35-39 let - nevesta";"40-44 let - nevesta";"45-49 let - nevesta";"50-54 let - nevesta";"55-59 let - nevesta";"60-64 let - nevesta";"65 let ali vec - nevesta";"Starostne skupine neveste - SKUPAJ";"Pod 20 let - nevesta";"20-24 let - nevesta";"25-29 let - nevesta";"30-34 let - nevesta";"35-39 let - nevesta";"40-44 let - nevesta";"45-49 let - nevesta";"50-54 let - nevesta";"55-59 let - nevesta";"60-64 let - nevesta";"65 let ali vec - nevesta"
"Starostne skupine zenina - SKUPAJ";8314;633;3592;2493;720;341;200;97;81;61;38;58;8245;544;3537;2535;796;328;210;88;76;67;27;37;7555;441;3098;2393;844;300;184;115;61;49;41;29;7500;371;2922;2564;782;362;188;112;89;48;26;36;7528;308;2777;2686;910;357;172;141;73;41;35;28;7716;335;2656;2768;995;384;216;166;85;44;29;38;7201;226;2279;2820;976;392;171;165;71;42;33;26;6935;226;1988;2799;997;380;194;127;97;53;33;41;7064;190;1874;2790;1162;422;249;159;111;47;29;31;6756;194;1695;2725;1176;401;218;141;106;52;24;24;6558;180;1477;2712;1196;428;205;129;104;61;39;27;5769;138;1123;2527;1091;382;183;132;91;45;31;26;6368;184;1184;2700;1292;430;217;131;104;69;26;31;6373;117;1128;2659;1399;453;243;160;95;64;35;20;6703;137;1132;2789;1554;490;240;161;104;53;25;18;6542;148;1180;2648;1429;528;241;155;93;60;31;29;6528;145;1052;2507;1567;595;245;164;127;60;39;27;6671;91;1071;2437;1661;659;306;186;120;71;38;31;7057;112;1077;2528;1695;779;343;222;145;81;34;41;6254;107;890;2248;1541;715;302;172;119;74;50;36;6571;99;900;2351;1601;773;363;190;142;81;43;28;6449;93;802;2223;1585;863;412;210;112;77;41;31;6667;86;782;2202;1682;873;467;248;154;75;55;43
"Pod 20 let - zenin";68;36;29;2;0;1;0;0;0;0;0;0;49;23;21;5;0;0;0;0;0;0;0;0;40;14;23;2;1;0;0;0;0;0;0;0;39;23;16;0;0;0;0;0;0;0;0;0;42;22;16;4;0;0;0;0;0;0;0;0;42;27;14;1;0;0;0;0;0;0;0;0;32;23;8;1;0;0;0;0;0;0;0;0;34;19;12;3;0;0;0;0;0;0;0;0;29;18;11;0;0;0;0;0;0;0;0;0;36;24;12;0;0;0;0;0;0;0;0;0;37;30;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;39;22;11;2;4;0;0;0;0;0;0;0;27;12;11;3;1;0;0;0;0;0;0;0;25;17;6;0;1;1;0;0;0;0;0;0;45;30;9;4;2;0;0;0;0;0;0;0;29;16;10;2;0;0;0;1;0;0;0;0;26;10;9;2;2;1;1;0;0;1;0;0;22;13;8;0;1;0;0;0;0;0;0;0;25;13;8;4;0;0;0;0;0;0;0;0;23;11;6;4;1;1;0;0;0;0;0;0;21;9;10;2;0;0;0;0;0;0;0;0;29;13;11;5;0;0;0;0;0;0;0;0
"20-24 let - zenin";2023;365;1394;239;15;8;1;0;1;0;0;0;1927;330;1311;253;29;2;1;0;0;1;0;0;1572;243;1107;194;23;2;1;2;0;0;0;0;1472;214;1026;202;22;8;0;0;0;0;0;0;1316;164;924;198;21;7;2;0;0;0;0;0;1318;180;905;211;15;6;0;0;1;0;0;0;1076;108;752;201;12;2;1;0;0;0;0;0;976;124;652;180;17;1;1;1;0;0;0;0;865;111;579;148;23;3;1;0;0;0;0;0;839;102;523;181;23;7;2;0;1;0;0;0;692;95;433;142;14;3;3;1;1;0;0;0;22;10;8;4;0;0;0;0;0;0;0;0;621;100;342;146;26;4;3;0;0;0;0;0;484;54;276;119;27;3;4;1;0;0;0;0;530;77;306;117;22;4;3;1;0;0;0;0;594;63;352;151;23;3;0;2;0;0;0;0;550;85;300;129;20;11;2;2;1;0;0;0;521;48;325;119;19;8;0;0;2;0;0;0;522;56;313;121;22;7;0;3;0;0;0;0;447;58;256;100;23;7;3;0;0;0;0;0;417;44;258;90;13;8;2;1;0;1;0;0;433;54;246;101;17;11;2;1;1;0;0;0;412;40;250;92;23;4;2;1;0;0;0;0
"25-29 let - zenin";3432;196;1707;1324;158;39;5;2;0;0;1;0;3425;160;1729;1358;152;24;2;0;0;0;0;0;3203;155;1531;1311;178;24;4;0;0;0;0;0;3110;102;1442;1384;141;29;11;1;0;0;0;0;3080;99;1389;1411;153;22;4;1;1;0;0;0;3092;105;1332;1448;173;26;5;3;0;0;0;0;2894;68;1141;1502;164;15;4;0;0;0;0;0;2770;67;957;1529;187;23;6;1;0;0;0;0;2666;51;923;1478;182;21;8;2;0;1;0;0;2503;51;834;1382;201;26;6;1;2;0;0;0;2402;38;734;1401;189;28;8;3;0;1;0;0;521;75;307;123;15;1;0;0;0;0;0;0;2199;45;578;1322;223;20;9;1;0;1;0;0;2208;44;576;1331;220;29;7;0;0;1;0;0;2226;32;565;1342;257;23;4;2;1;0;0;0;2164;46;587;1268;232;20;8;2;0;1;0;0;1895;32;511;1105;203;31;9;4;0;0;0;0;1880;25;491;1082;240;29;6;6;0;0;1;0;1979;32;514;1174;213;31;10;3;2;0;0;0;1748;30;442;1064;172;33;6;1;0;0;0;0;1898;31;448;1141;236;28;9;2;3;0;0;0;1733;22;376;1079;198;40;13;2;2;1;0;0;1708;23;365;1039;222;45;9;5;0;0;0;0
"30-34 let - zenin";1419;28;362;682;269;60;15;3;0;0;0;0;1518;26;373;696;325;77;18;3;0;0;0;0;1445;24;359;668;324;50;14;5;0;1;0;0;1543;25;360;729;346;61;15;3;3;1;0;0;1681;19;366;817;389;69;16;5;0;0;0;0;1693;18;319;824;439;68;20;5;0;0;0;0;1724;18;312;861;440;77;13;3;0;0;0;0;1646;11;286;824;449;59;13;3;1;0;0;0;1756;6;279;870;512;65;19;5;0;0;0;0;1733;11;246;888;502;61;18;3;3;0;1;0;1774;12;225;877;574;70;12;3;1;0;0;0;2067;38;573;1245;180;30;1;0;0;0;0;0;1805;10;204;941;564;74;8;2;1;1;0;0;1926;4;205;934;670;93;15;2;2;1;0;0;2057;6;194;1011;730;99;13;3;1;0;0;0;1948;7;185;943;657;125;26;4;1;0;0;0;2035;7;175;936;775;118;23;1;0;0;0;0;2087;8;200;904;792;142;30;8;2;0;1;0;2154;7;195;933;848;138;21;10;1;0;1;0;1844;5;153;778;739;141;23;2;1;2;0;0;1866;5;140;827;720;139;29;3;2;0;1;0;1787;6;125;761;720;154;16;5;0;0;0;0;1851;7;106;791;746;155;34;8;3;1;0;0
"35-39 let - zenin";550;5;70;169;169;98;31;5;3;0;0;0;549;3;69;150;179;98;40;7;1;1;0;1;540;2;60;148;206;89;26;6;3;0;0;0;573;3;55;178;178;121;27;8;3;0;0;0;588;3;49;183;211;95;35;7;5;0;0;0;695;4;63;217;239;133;26;10;3;0;0;0;633;5;44;185;234;128;22;12;2;1;0;0;683;4;63;194;229;156;28;9;0;0;0;0;793;3;54;212;285;180;40;17;1;1;0;0;752;4;49;193;309;147;33;14;2;0;0;1;763;3;49;214;283;171;33;5;3;1;0;1;1656;13;172;892;493;70;11;5;0;0;0;0;745;4;39;210;295;155;30;5;5;2;0;0;752;1;41;191;316;152;34;15;2;0;0;0;863;4;40;236;345;182;42;11;3;0;0;0;807;1;28;212;345;178;31;8;4;0;0;0;971;3;39;262;416;198;35;13;3;1;1;0;1017;0;30;247;442;227;56;12;1;1;1;0;1072;2;37;219;426;316;59;12;1;0;0;0;1027;0;22;230;437;272;53;10;3;0;0;0;1090;6;33;212;460;312;55;11;1;0;0;0;1189;0;35;214;480;365;77;16;1;0;1;0;1169;3;35;209;482;325;91;15;8;0;1;0
"40-44 let - zenin";283;3;21;50;65;83;52;4;3;1;1;0;282;0;20;45;73;68;57;11;7;0;0;1;281;2;11;45;76;71;49;19;6;1;1;0;252;2;12;41;62;75;39;16;2;1;1;1;327;1;21;47;86;93;43;31;3;0;1;1;314;1;16;40;72;78;78;24;5;0;0;0;316;3;14;51;73;88;62;17;7;0;0;1;281;0;13;42;63;74;62;20;5;2;0;0;354;1;17;53;103;95;60;18;5;2;0;0;331;2;16;57;78;89;63;19;5;1;1;0;336;1;11;54;91;93;57;16;8;3;1;1;659;1;48;200;260;122;21;5;2;0;0;0;383;1;8;58;123;101;56;26;8;1;0;1;383;0;12;57;104;99;85;17;6;3;0;0;419;1;15;58;131;108;69;29;8;0;0;0;398;0;12;49;113;124;77;14;8;0;0;1;417;1;13;50;95;146;81;25;6;0;0;0;448;0;11;49;113;153;87;31;2;1;0;1;516;2;6;58;131;170;96;38;10;3;1;1;452;0;6;44;111;158;97;27;6;2;1;0;549;0;5;60;120;178;138;33;15;0;0;0;559;1;6;46;121;201;146;29;8;1;0;0;637;0;9;44;155;230;159;29;10;1;0;0
"45-49 let - zenin";156;0;7;20;26;26;42;21;11;2;0;1;151;2;8;20;22;33;41;15;7;3;0;0;185;1;5;21;22;43;50;28;13;2;0;0;194;2;7;21;16;39;53;41;12;2;0;1;168;0;7;19;37;36;31;27;9;1;1;0;184;0;4;14;30;39;41;43;11;1;1;0;205;1;8;14;30;47;36;56;12;0;0;1;200;1;2;23;27;44;43;39;17;3;0;1;227;0;4;15;41;31;59;56;20;0;0;1;200;0;12;14;42;37;34;40;15;5;0;1;191;0;11;15;25;34;33;51;16;3;1;2;300;1;10;36;85;81;55;23;6;3;0;0;202;1;1;14;37;37;50;39;18;5;0;0;211;2;5;15;35;45;43;46;15;4;1;0;212;0;3;15;43;43;60;33;11;2;0;2;204;1;3;15;30;47;49;34;14;9;0;2;220;0;2;14;40;57;50;37;17;1;2;0;259;0;2;24;34;57;69;47;19;4;2;1;282;0;2;17;34;67;77;55;25;3;2;0;265;1;2;16;40;66;69;47;17;6;1;0;256;1;6;11;34;58;74;49;17;6;0;0;272;1;2;12;37;60;82;58;15;3;2;0;304;0;2;17;35;68;93;60;25;2;2;0
"50-54 let - zenin";113;0;1;2;11;18;30;24;19;7;1;0;108;0;2;5;10;15;20;26;18;6;4;2;91;0;2;2;12;14;18;25;7;4;4;3;106;0;3;7;12;18;21;19;17;8;1;0;119;0;4;6;9;20;23;30;16;7;3;1;140;0;2;10;18;19;19;43;22;3;2;2;118;0;0;2;15;22;18;40;15;3;3;0;129;0;2;2;20;17;21;28;29;8;1;1;136;0;4;10;8;16;32;31;27;5;1;2;150;0;2;6;13;25;35;34;26;7;2;0;146;0;4;8;11;19;33;23;36;10;1;1;177;0;5;18;36;43;38;25;6;5;1;0;139;1;0;5;13;23;34;28;23;6;4;2;159;0;1;5;15;22;36;34;25;15;5;1;136;0;2;7;12;11;26;35;33;7;3;0;138;0;2;3;15;18;29;39;23;6;3;0;174;1;1;7;12;23;27;41;40;17;3;2;163;0;2;9;11;27;37;31;35;9;1;1;196;0;0;5;11;23;55;49;41;8;1;3;166;0;1;6;7;19;32;51;37;10;2;1;187;0;3;4;12;26;33;47;43;13;5;1;174;0;0;7;6;17;44;48;37;12;2;1;244;0;2;4;14;30;57;80;42;9;4;2
